

Experiment Type,List Size,Cycle Start,Cycle Length,Steps,Execution Time (microseconds)
Fixed Offset,100,20,10,50,0
Fixed Offset,100,20,15,50,0
Fixed Offset,100,20,20,50,0
Fixed Offset,200,20,10,100,0
Fixed Offset,200,20,15,100,0
Fixed Offset,200,20,20,100,0
Fixed Offset,300,20,10,150,0
Fixed Offset,300,20,15,150,0
Fixed Offset,300,20,20,150,0
Fixed Offset,100,50,10,50,0
Fixed Offset,100,50,15,50,0
Fixed Offset,100,50,20,50,0
Fixed Offset,200,50,10,100,0
Fixed Offset,200,50,15,100,0
Fixed Offset,200,50,20,100,0
Fixed Offset,300,50,10,150,0
Fixed Offset,300,50,15,150,0
Fixed Offset,300,50,20,150,0
Fixed Offset,100,100,10,50,0
Fixed Offset,100,100,15,50,0
Fixed Offset,100,100,20,50,0
Fixed Offset,200,100,10,100,0
Fixed Offset,200,100,15,100,0
Fixed Offset,200,100,20,100,0
Fixed Offset,300,100,10,150,0
Fixed Offset,300,100,15,150,0
Fixed Offset,300,100,20,150,0


Random Offset,100,77,10,50,0
Random Offset,100,64,15,50,0
Random Offset,100,99,20,50,0
Random Offset,200,163,10,100,0
Random Offset,200,132,15,100,0
Random Offset,200,191,20,100,0
Random Offset,300,299,10,150,0
Random Offset,300,248,15,150,0
Random Offset,300,37,20,150,0
Random Offset,100,77,10,50,0
Random Offset,100,64,15,50,0
Random Offset,100,99,20,50,0
Random Offset,200,163,10,100,0
Random Offset,200,132,15,100,0
Random Offset,200,191,20,100,0
Random Offset,300,299,10,150,0
Random Offset,300,248,15,150,0
Random Offset,300,37,20,150,0
Random Offset,100,77,10,50,0
Random Offset,100,64,15,50,0
Random Offset,100,99,20,50,0
Random Offset,200,163,10,100,0
Random Offset,200,132,15,100,0
Random Offset,200,191,20,100,0
Random Offset,300,299,10,150,0
Random Offset,300,248,15,150,0
Random Offset,300,37,20,150,0
Random Offset,100,77,10,50,0
Random Offset,100,64,15,50,0
Random Offset,100,99,20,50,0
Random Offset,200,163,10,100,0
Random Offset,200,132,15,100,0
Random Offset,200,191,20,100,0
Random Offset,300,299,10,150,0
Random Offset,300,248,15,150,0
Random Offset,300,37,20,150,0
Random Offset,100,77,10,50,0
Random Offset,100,64,15,50,0
Random Offset,100,99,20,50,0
Random Offset,200,163,10,100,0
Random Offset,200,132,15,100,0
Random Offset,200,191,20,100,0
Random Offset,300,299,10,150,0
Random Offset,300,248,15,150,0
Random Offset,300,37,20,150,0




Fixed Offset,1000,200,50,500,0
Fixed Offset,1000,200,75,500,0
Fixed Offset,1000,200,100,500,0
Fixed Offset,2000,200,50,1000,0
Fixed Offset,2000,200,75,1000,0
Fixed Offset,2000,200,100,1000,0
Fixed Offset,3000,200,50,1500,0
Fixed Offset,3000,200,75,1500,0
Fixed Offset,3000,200,100,1500,0
Fixed Offset,1000,500,50,500,0
Fixed Offset,1000,500,75,500,0
Fixed Offset,1000,500,100,500,0
Fixed Offset,2000,500,50,1000,0
